query,answer
"Особенности проведения закупок, участниками которых могут быть только субъекты МСП, и участники закупок для субъектов МСП. Эксперты считают, что участниками закупок, учаниками которых могли бы быть субъекты муниципальных и муниципальных предприятий, могут оказаться только субсидии МСП.","Особенности проведения закупок, участниками которых могут быть только субъекты МСП"
"Конкурентные закупки, участниками которых могут быть только субъекты МСП, проводятся заказчиками I группы следующими способами: закупки для субъектов МСП проводятся такими способами. Заказчики I группы проводят тендерные закупки и проводят тендерные закупки.","Конкурентные закупки, участниками которых могут быть только субъекты МСП, проводятся заказчиками I группы следующими способами:"
"Объявлен конкурс на конкурс конкурс в электронной форме конкурса на конкурс конкурса электронной для конкурса конкурса. В конкурсе участвуют участники конкурса, а также участие в конкурсе конкурсных грантов.",конкурс в электронной форме;
"аукцион в электронной форме, электронный аукцион и электронная продажа электронных аукционов. аукцион электронной для электронной и электронной формы. Аукцион в электронном форме и электронные аукционы в электронных форме.",аукцион в электронной форме;
"Запрос предложений в электронной форме и запрос предложений на электронную форме. Электронная платформа для запроса предложений и запросов предложений. Эксперты считают, что электронная форма может быть использована для подготовки электронных предложений.",запрос предложений в электронной форме;
"Запрос котировок в электронной форме может быть сделан в электронном форме. Эксперты считают, что рынок может оказаться дешевле.",запрос котировок в электронной форме.
"Процедуры закупок, указанные в п. 12.12.1 Положения, проводятся исключительно в электронной форме, а закупки проводятся в электронном форме. Эксперты считают, что процедуры закупок исключены для электронной и электронной форм.","Процедуры закупок, указанные в п. 12.12.1 Положения, проводятся исключительно в электронной форме."
"Процедуры закупок, указанные в п. 12.12.1 Положения, проводятся в порядке, установленном подразделами 12.1 – 12.11 Положения, с учетом особенностей, предусмотренных подразделом 12.12 Положения.","Процедуры закупок, указанные в п. 12.12.1 Положения, проводятся в порядке, установленном подразделами 12.1 – 12.11 Положения, с учетом особенностей, предусмотренных подразделом 12.12 Положения."
"При проведении конкурса в электронной форме, участниками которого могут быть только субъекты МСП, участники конкурса могут включить в документацию о закупке следующие этапы, проводимые однократно: в извещение о закупках могут включиться документация о заказе.","При проведении конкурса в электронной форме, участниками которого могут быть только субъекты МСП, в извещение, документацию о закупке могут быть включены следующие этапы, проводимые однократно:"
"Срок до окончания срока подачи заявок на участие в конкурсе в электронной форме, а также проведение обсуждения с участниками закупки функциональных характеристик (потребительских свойств) товаров, качества работ, услуг и иных условий исполнения договора требуемых характеристик и качества закупаемых товаров, работ, услуг.","проведение в срок до окончания срока подачи заявок на участие в конкурсе в электронной форме, участниками которого могут быть только субъекты МСП, заказчиком обсуждения с участниками закупки функциональных характеристик (потребительных свойств) товаров, качества работ, услуг и иных условий исполнения договора в целях уточнения в извещении, документации о закупке, проекте договора требуемых характеристик (потребительских свойств) закупаемых товаров, работ, услуг;"
"Участники процедуры закупки предлагают уточнить в извещении, документации о закупке, проект договора требуемых характеристик (потребительских свойств) закупаемых товаров, работ, услуг и об иных условиях исполнения договора, содержащихся в заявках участников закупки, в целях уточнения документации об извещении.","обсуждение заказчиком предложений о функциональных характеристиках (потребительских свойствах) товаров, качестве работ, услуг и об иных условиях исполнения договора, содержащихся в заявках участников процедуры закупки, в целях уточнения в извещении, документации о закупке, проекте договора требуемых характеристик (потребительских свойств) закупаемых товаров, работ, услуг;"
"Участники электронной закупки заявок на участие в конкурсе в электронной форме могут быть только субъекты МСП, а также субъекты субъектов МСП.","рассмотрение и оценка заказчиком поданных участниками процедуры закупки заявок на участие в конкурсе в электронной форме, участниками которого могут быть только субъекты МСП;"
"Сопоставление дополнительных ценовых предложений участников закупки о снижении цен договора и снижении цены договора. Эксперты считают, что снижение цен договора позволит снизить цену договора.",сопоставление дополнительных ценовых предложений участников закупки о снижении цены договора.
"Не допускается одновременное проведение этапов, указанных в подп. 12.12(1), 12.12(1) и 12.12(2) Положения. Не допускаются одновременно провести этапы, указанные в Подп. 12 и 12(1) Положения.","Не допускается одновременное проведение этапов, указанных в подп. 12.12(1) и 12.12(2) Положения."
"Запрос предложений в электронной форме, участниками которого могут быть только субъекты МСП, проводится в порядке, установленном Положением для проведения конкурса в электронном форме. Конкурс проводится с учетом особенностей, предусмотренных Положением.","Запрос предложений в электронной форме, участниками которых могут быть только субъекты МСП, проводится в порядке, установленном Положением для проведения конкурса в электронной форме, участниками которого могут быть только субъекты МСП, с учетом особенностей, предусмотренных Положением."
"При проведении этапа, указанного в подпп.12(1) этапа, установленного в подп. 12(1) Положения: Для проведения этапа этапа необходимо провести этап, указанный в подпб.12(1), а также провести этапы, указанные в подппункте, и для того, чтобы выполнить этап, установленный подп.(1) Положение: Для проведения этапа можно использовать только для подготовки к этапу, указанному в подппл.12(1).","При проведении этапа, указанного в подп. 12.12(1) Положения:"
