query,answer
"Документы, требуемые к размещению в соответствии с законом 223-ФЗ и принятыми в его развитие нормативными правовыми актами, а также иные документы, требующие размещения в соответствие с его развитием.","иные документы, требуемые к размещению в соответствии с Законом 223-ФЗ и принятыми в его развитие нормативными правовыми актами, в установленные в них сроки."
"Заказчики I группы I группы официально размещают следующую информацию в установленные сроки. Если иное прямо не установлено законодательством или настоящим Положением, заказчики группы размещают эту информацию в соответствии с установленными сроки.","Если иное прямо не установлено законодательством или настоящим Положением, заказчики I группы официально размещают также следующую информацию в установленные сроки:"
"ПЗ – в течение 10 (десяти) дней со дня утверждения ПЗ, но не позднее 31 декабря текущего календарного года. ПЗ – будет утверждаться в течение нескольких дней, но не позже 31 декабря. Эксперты считают, что ПЗ – не будет принятым в декабре текущего года.","ПЗ – в течение 10 (десяти) дней со дня утверждения, но не позднее 31 декабря текущего календарного года;"
"ПЗИП ПЗИП – в течение 10 (десяти) дней со дня утверждения ПЗИП. ПЗИП будет утвержден в течение нескольких дней, со дня его утверждения — в течение ближайших 10 (десяти дней) со дня принятия ПЗИП (ПЗИП) ПЗИП, а также в течение десяти дней со срока утверждения.",ПЗИП – в течение 10 (десяти) дней со дня утверждения;
"Изменения в ПЗ, ПЗИП – в течение 10 (десяти) дней с даты внесения изменений в ПЗ и ПЗИП. Изменения могут быть внесены в течение десяти дней.","изменения в ПЗ, ПЗИП – в течение 10 (десяти) дней с даты внесения изменений;"
"Сведения об изменении количества, объема, цены приобретаемой продукции, о сроках исполнения договора – не позднее 10 (десяти) дней со дня внесения соответствующих изменений в договор.","сведения об изменении количества, объема, цены приобретаемой продукции, о сроках исполнения договора относительно информации, содержащейся в протоколе, составленном по итогам проведения закупки (итоговом протоколе), произошедшие при заключении, исполнении договора, – не позднее 10 (десяти) дней со дня внесения соответствующих изменений в договор;"
"Информация и документы по договору, заключенному заказчиком по результатам закупки, включаемые в реестр договоров, – в объеме и в сроки, установленные в соответствии с законодательством.","информацию и документы по договору, заключенному заказчиком по результатам закупки, включаемые в реестр договоров, – в объеме и в сроки, установленные в соответствии с законодательством;"
"Сведения о договорах по результатам закупок, предусмотренных в части 19 статьи 4 Закона 223-ФЗ, ежемесячно, не позднее 10 (десятого) числа месяца, следующего за отчетным месяцем, – ежемесячно и ежемесячно – не позднее десятого числа месяца.","сведения о договорах, заключенных по результатам закупок, предусмотренные в части 19 статьи 4 Закона 223-ФЗ, – ежемесячно, не позднее 10 (десятого) числа месяца, следующего за отчетным месяцем;"
"Перечень товаров, работ, услуг, закупки которых осуществляются у субъектов МСП – в течение 10 (десяти) дней со дня утверждения (применимо к заказчикам I группы, в отношении которых действуют нормы законодательства об обязанности ведения такого перечня). Эксперты считают, что такой перечень не является обязательным.","перечень товаров, работ, услуг, закупки которых осуществляются у субъектов МСП – в течение 10 (десяти) дней со дня утверждения (применимо к заказчикам I группы, в отношении которых действуют нормы законодательства об обязанности ведения такого перечня);"
"Закупки продукции у субъектов МСП – не позднее 1 февраля года, следующего за прошедшим календарным годом. Применимо к заказчикам I группы, в отношении которых действуют нормы законодательства об обязанности осуществлять закупки продукции.","годовой отчет о закупке продукции у субъектов МСП (применимо к заказчикам I группы, в отношении которых действуют нормы законодательства об обязанности осуществлять такие закупки) – не позднее 1 февраля года, следующего за прошедшим календарным годом;"
