query,answer
"Участник закупки считается выполнившим требование по привлечению к исполнению договора субъектов МСП при условии выполнения требований извещения, документации о закупке по раскрытию информации, указанной в п. 19.16.4, 19.16.5 Положения. Эксперты считают, что участник закупки выполнил требование, указанное в Положения.","Участник закупки считается выполнившим требование по привлечению к исполнению договора субъектов МСП при условии выполнения требований извещения, документации о закупке по раскрытию информации, указанной в п. 19.16.4, 19.16.5 Положения."
"Если в состав коллективного участника закупки входят субъекты МСП, то объем исполнения договора засчитывается в исполнение требования по привлечению субъектов МСП при условии выполнения требований п. 19.16.4, 19.16.5 Положения по раскрытию информации.","Если в состав коллективного участника закупки входят субъекты МСП, то объем исполнения договора такими членами коллективного участника закупки засчитывается в исполнение требования по привлечению субъектов МСП при условии выполнения требований п. 19.16.4, 19.16.5 Положения по раскрытию информации."
"С учетом особенностей, установленных Правительством Российской Федерации в соответствии с пунктом 2 части 8 статьи 3 Закона 223-ФЗ, закупки, проводимые на ЭТП, могут быть только субъекты МСП. Для участия в закупке участник, являющийся субъектом МСП, должен пройти процесс аккредитации на ЭТП в порядке, установленном Законом 44-ФЗ.","Закупки, участниками которых с учетом особенностей, установленных Правительством Российской Федерации в соответствии с пунктом 2 части 8 статьи 3 Закона 223-ФЗ, могут быть только субъекты МСП, проводимые в порядке статьи 3.4 Закона 223-ФЗ, осуществляются на ЭТП, функционирующей в соответствии с едиными требованиями, предусмотренными Законом 44-ФЗ. Для участия в закупке участник, являющийся субъектом МСП, должен пройти процесс аккредитации на ЭТП в порядке, установленном Законом 44-ФЗ и в соответствии с регламентами ЭТП."
"Физические лица, не являющиеся индивидуальными предпринимателями и применяющих специальный налоговый режим «Налог на профессиональный доход» в течение срока проведения эксперимента, в равной мере применяются в отношении физических лиц, не имеющих права участвовать в закупках. Эксперты считают, что налоговые режимы, касающиеся участия субъектов МСП в закупках, в соответствии с законом 422-ФЗ, применяются в меньшей мере в отношении индивидуальных предпринимателей.","Нормы Положения, касающиеся участия субъектов МСП в закупках, в течение срока проведения эксперимента, установленного Законом 422-ФЗ, в равной мере применяются в отношении физических лиц, не являющихся индивидуальными предпринимателями и применяющих специальный налоговый режим «Налог на профессиональный доход»."
"Организация и проведение централизованных (консолидированных) закупок Особенности организации и проведения централизованных закупок Глава Эксперты и участники рынка закупок Эксперты определяют, какие именно закупки будут принимать участие в централизованном (консолидированном) закупках.",Особенности организации и проведения централизованных (консолидированных) закупок
"Централизованные (консолидированные) закупки проводятся в целях повышения эффективности закупок одинаковой продукции, необходимой одновременно нескольким заказчикам. Это позволит повысить эффективность закупок нескольких товаров, необходимых одновременно одним заказчикам, а также повысить качество продукции.","Централизованные (консолидированные) закупки проводятся в целях повышения эффективности закупок одинаковой продукции, необходимой одновременно нескольким заказчикам."
"Централизованные (консолидированные) закупки проводятся организатором закупок (подраздел 4.2 Положения) в отношении: Централизованных (консолидированных) закупок проводятся в связи с: Централизованными (консолидированными) закупками проводятся централизованные закупки. Эксперты считают, что закупки организатора закупок не являются централизованными.",Централизованные (консолидированные) закупки проводятся организатором закупки (подраздел 4.2 Положения) в отношении:
"ИС (ИС) (ИС), входящая в перечень, утвержденный правовым актом соответствующей продукции, входящей в перечень продукции, утвержденного соответствующей ГОСК (ИС). ИС, входящую в состав, утвержденную соответствующей ГО ХК (ИС), ИС). К (ИС) ИС (ХК) (ИС)) (ИС). (ИС) «ИС) (ХК (ИС)).","продукции, входящей в перечень, утвержденный правовым актом соответствующей ГО ХК (ИС);"
"Корпорация «Развитие инфраструктуры» и организатор закупок продукции, входящей в перечень по инфраструктурным видам деятельности, утвержденный правовым актом Корпорации согласно п. 1.1.6 Положения Корпорации.","продукции, входящей в перечень по инфраструктурным видам деятельности и организаторов закупок по указанному перечню, утвержденный правовым актом Корпорации согласно п. 1.1.6 Положения."
Организация централизованных (консолидированных) закупок рекомендуется привлекать для ее подготовки и проведения специализированную организацию. Организаторы закупок рекомендуют привлекать к подготовке и проведению централизованных закупок специализированной организацию.,Ввиду сложности и ответственности процедуры централизованных (консолидированных) закупок организатору закупки рекомендуется привлекать для ее подготовки и проведения специализированную организацию.
"Централизованные (консолидированные) закупки проводятся способами, предусмотренными Положением. В случае проведения централизованной (консолидированной) закупки одновременно для заказчиков I и II групп закупка проводится в соответствии с правилами, установленными для соответствующего способа закупки заказчиков I группы.","Централизованные (консолидированные) закупки проводятся способами, предусмотренными Положением. Выбор способа проведения централизованной (консолидированной) закупки осуществляется в соответствии с Положением, при этом при определении способа закупки учитывается общая сумма НМЦ централизованной (консолидированной) закупки. В случае проведения централизованной (консолидированной) закупки одновременно для заказчиков I и II группы закупка проводится способами, предусмотренными для заказчиков I группы, и в соответствии с правилами, установленными для соответствующего способа закупки заказчиков I группы."
"Информация о централизованной (консолидированной) закупке отражается в РПЗ с указанием организатора закупки. Централизованная (консолидированная) закупка проводится в рамках РПЗ и РПЗ. Информация об РПЗ отражается на РПЗ, а информация о Централизованной закупке опубликована в РПЗа с указанием участника закупки.",Информация о централизованной (консолидированной) закупке отражается в РПЗ с указанием организатора закупки.
"При централизованной (консолидированной) закупке потребность в продукции для нужд конкретного заказчика включается в состав одного общего лота. Объем продукции, необходимого конкретному заказчику, указывается в извещении, документации о закупке.","При централизованной (консолидированной) закупке потребность в продукции для нужд конкретного заказчика включается в состав одного общего лота. Объем продукции конкретного заказчика указывается в извещении, документации о закупке."
"По результатам централизованной (консолидированной) закупки договор по ее результатам заключается заказчиками или организаторами закупки от имени заказчика в объеме, определенном условиями извещения, документации о закупке.","По результатам централизованной (консолидированной) закупки договор по ее результатам заключается заказчиками или организаторами закупки от имени заказчика в объеме, определенном условиями извещения, документации о закупке."
"Централизованные (консолидированные) закупки могут проводиться в целях закупок одинаковой продукции, необходимой одновременно ГО ХК (ИС) и заказчикам 3 уровня, входящим в состав соответствующей ХК. Для применения подп. (1) Положения централизованных закупок могут проводится в целях покупок продукции, необходимой одновременно ГО и закупок 3 уровня.","Для целей применения подп. (1) Положения централизованные (консолидированные) закупки могут проводится в целях закупок одинаковой продукции, необходимой одновременно ГО ХК (ИС) и заказчикам 3 уровня, входящим в состав соответствующей ХК (ИС)."
"Закупки услуг лизинга лизинга закупки услуг услуги лизинга Закупки услуги услуг ловинга Закупка услуг услуг лизиинга закупка услуг лизинге лизинга. Закупки сервисов лизинга на зарубежные рынки лизинга в ближайшие месяцы начнутся уже на следующей неделе, а затем и на следующий день, когда лизинга не будет, а услуга лизинга могут быть запущены в аренду. Услуги лизинга, лизинга или лизинга будут закупываться за рубежом.",Закупки услуг лизинга
"Особенности проведения закупок услуг лизинга применяются при подготовке и проведении закупок на право заключения договора лизинга с лизингодателем и/или при определении поставщика предмета лизиинга в целях купли-продажи (поставки). Предполагается, что такие особенности применяются при закупках на право заключения договора.",Предусмотренные настоящим подразделом особенности проведения закупок услуг лизинга применяются при подготовке и проведении закупок на право заключения договора лизинга с лизингодателем (выбор лизингодателя) и/или при определении поставщика предмета лизинга в целях заключения договора купли-продажи (поставки).
"Выбор поставщика предмета лизинга может осуществляться лизингополучателем или лизингодателем. Выбирать поставщика предмет лизинга осуществляется лизингополуучателем или лзингодателем, который может осуществлять выбор поставщика предметов лизинга.",Выбор поставщика предмета лизинга может осуществляться лизингополучателем или лизингодателем.
"В случае, если определение поставщика предмета лизинга осуществляется лизингополучателем, то оно должно быть осуществлено до момента официального размещения информации о проведении закупки по выбору лизингодателя. При этом такие определения должны быть осуществлены до момента размещения информации.","В случае, если определение поставщика предмета лизинга осуществляется лизингополучателем, то оно осуществляется в порядке, установленном Положением, при этом такое определение должно быть осуществлено до момента официального размещения информации о проведении закупки по выбору лизингодателя."
"Определение поставщика предмета лизинга может осуществляться лизингодателем, если соответствующее условие предусмотрено договором (проектом договора) лизинга. Эксперты считают, что поставщик предмета может быть выбран только в случае расторжения договора.","Определение поставщика предмета лизинга может осуществляться лизингодателем, если соответствующее условие предусмотрено договором (проектом договора) лизинга."
В документации о закупке предмета лизинга лизингополучателем устанавливаются следующие требования: При определении поставщика предмета лизиинга лизингодателем в документации об закупке дополнительные требования устанавливаются в документации по закупке предметов лизинга. При этом лизингодатели устанавливают требования к поставщику предмета лизисного оборудования.,При определении поставщика предмета лизинга лизингополучателем в документации о закупке дополнительно устанавливаются следующие требования:
"Заключение договора купли-продажи (поставки) и оплата предмета лизинга будут произведены лизингодателем, определенным заказчиком. Лизингодатели, определенный заказчик, определят заказчика, определенного заказчика.","указание на то, что заключение договора купли-продажи (поставки) и оплата предмета лизинга будут произведены лизингодателем, определенным заказчиком;"
"Название предмета лизинга, в том числе перечень закупаемых товаров и их характеристики в соответствии с подразделом 10.3 Положения. Положение о предмете лизинга и его характеристиках в соответствии со подразделом 103 Положения; описание предмета ловинга и перечень его характеристик в соответствие с Подразделом 10.4 Положения.","описание предмета лизинга, в том числе перечень закупаемых товаров и их характеристики в соответствии с подразделом 10.3 Положения;"
"Сроки и порядок оплаты предмета лизинга лизингодателем. Лизингодатели считают, что предмет лизинга может быть приобретен лизингодателю.",сроки и порядок оплаты предмета лизинга лизингодателем.
"В случае, если определение поставщика предмета лизинга осуществляется лизингодателем Корпорации, такие закупки проводятся путем закупок предмета лизингодателя, являющегося организацией Корпорации. Такие закупки осуществляются путем: закупки предметов лизинга проводятся в зависимости от того, кто будет поставлять предмет лизинга.","В случае, если определение поставщика предмета лизинга осуществляется лизингодателем, являющимся организацией Корпорации, такие закупки проводятся путем:"
"Проведение запроса предложений / тендера вне зависимости от размера НМЦ, а также проведения тендера в размере НМЦ.",проведения запроса предложений / тендера вне зависимости от размера НМЦ;
"Проведение неконкурентной закупки в случаях, предусмотренных настоящим Положением, может быть проведена ненкурентная закупка в случае, предусмотренный настоящим Положением.","проведения неконкурентной закупки в случаях, предусмотренных настоящим Положением."
"При проведении процедуры закупки по выбору лизингодателя в извещении, документации о закупке, помимо сведений, предусмотренных разделом 12. Положения, дополнительно указываются следующие сведения: при закупке лизингодателю может быть предоставлено следующее извещение и документация о покупке.","При проведении процедуры закупки по выбору лизингодателя в извещении, документации о закупке, помимо сведений, предусмотренных разделом 12. Положения, дополнительно указываются следующие сведения:"
"Предметом закупки является право заключения договора лизинга в отношении предмета закупки, который является предметом закупки. Эксперты считают, что закупка может быть связана с тем, что предметом закупок является заключение договора с предметом лизинга.","указание на то, что предметом закупки является право заключения договора лизинга в отношении предмета лизинга;"
"Указание на порядок определения поставщика предмета лизинга либо, если такой поставщик уже отобран, указание на порядок ознакомления с информацией о таком поставщике. Если такая информация уже была отобрана, указание о порядке ознакомления со всеми информацией.","указание на порядок определения поставщика предмета лизинга либо, если поставщик предмета лизинга уже отобран, указание на порядок ознакомления с информацией о таком поставщике;"
"Существенные условия договора купли-продажи (поставки) предмета лизинга: перечень продукции и ее характеристики согласно положениям подраздела 10.3 Положения, сроки и условия исполнения обязательств по договору, цена и стоимость каждой единицы продукции.","известные на момент проведения процедуры закупки существенные условия договора купли-продажи (поставки) предмета лизинга: перечень продукции и ее характеристики согласно положениям подраздела 10.3 Положения, сроки и условия исполнения обязательств по договору купли-продажи (поставки), цена такого договора, а также стоимость каждой единицы предмета лизинга, иные существенные условия договора купли-продажи (поставки) предмета лизинга;"
